"","domain","phylum","class","order","family","genus","species"
"ASV_819","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"ASV_3047","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_13509","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"ASV_12494","Bacteria","Proteobacteria","Gammaproteobacteria","HOC36",NA,NA,NA
"ASV_4106","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Agaribacterium",NA
"ASV_11165","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_7295","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Thaumasiovibrio",NA
"ASV_8410","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_6070","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"ASV_1718","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Candidatus Thiobios",NA
"ASV_8384","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",NA,NA
"ASV_4352","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"ASV_8221","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","BD1-7 clade",NA
"ASV_10809","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Candidatus Thiobios",NA
"ASV_15806","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Candidatus Thiobios",NA
"ASV_4569","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales",NA,NA,NA
"ASV_3720","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA
"ASV_17260","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",NA
"ASV_930","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",NA
"ASV_8850","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"ASV_4241","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Agarilytica",NA
"ASV_4612","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales",NA,NA,NA
"ASV_4856","Bacteria","Proteobacteria","Gammaproteobacteria","EPR3968-O8a-Bc78",NA,NA,NA
"ASV_961","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5) clade",NA
"ASV_13075","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Perspicuibacter",NA
"ASV_15340","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",NA
"ASV_1844","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5) clade",NA
"ASV_2289","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",NA
"ASV_7109","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella",NA
"ASV_7010","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales",NA,NA,NA
"ASV_3299","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",NA
"ASV_13806","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA
"ASV_11611","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA
"ASV_5426","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Marinomonadaceae","Marinomonas",NA
