"","domain","phylum","class","order","family","genus","species"
"ASV_14996","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_14997",NA,NA,NA,NA,NA,NA,NA
"ASV_14998","Bacteria","Planctomycetota","Phycisphaerae","MSBL9",NA,NA,NA
"ASV_14999","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",NA,NA
"ASV_15001",NA,NA,NA,NA,NA,NA,NA
"ASV_15002","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15003",NA,NA,NA,NA,NA,NA,NA
"ASV_15004","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5 marine group",NA
"ASV_15005","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15006","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcales Incertae Sedis","Schizothrix LEGE 07164",NA
"ASV_15007",NA,NA,NA,NA,NA,NA,NA
"ASV_15008","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus Captivus",NA
"ASV_15009","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15010","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15013","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_15014",NA,NA,NA,NA,NA,NA,NA
"ASV_15015","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15016","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"ASV_15017",NA,NA,NA,NA,NA,NA,NA
"ASV_15018",NA,NA,NA,NA,NA,NA,NA
"ASV_15019","Bacteria","Myxococcota","Polyangia","Polyangiales",NA,NA,NA
"ASV_15020","Bacteria","Proteobacteria","Gammaproteobacteria","KI89A clade",NA,NA,NA
"ASV_15021","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",NA
"ASV_15022","Bacteria","Proteobacteria","Gammaproteobacteria","EV818SWSAP88",NA,NA,NA
"ASV_15023","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Lentimonas",NA
"ASV_15024",NA,NA,NA,NA,NA,NA,NA
"ASV_15026","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15027","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15028","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA,NA
"ASV_15029","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Candidatus Megaira",NA
"ASV_15030","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"ASV_15031","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15032","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15033",NA,NA,NA,NA,NA,NA,NA
"ASV_15034","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Pleurocapsa PCC-7319",NA
"ASV_15035",NA,NA,NA,NA,NA,NA,NA
"ASV_15036","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15037","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15038","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella",NA
"ASV_15039","Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales","Temperatibacteraceae","Temperatibacter",NA
"ASV_15040",NA,NA,NA,NA,NA,NA,NA
"ASV_15041","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV_15042",NA,NA,NA,NA,NA,NA,NA
"ASV_15043","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Vicingus",NA
"ASV_15044","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","DEV008",NA
"ASV_15045","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium",NA
"ASV_15046","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15047",NA,NA,NA,NA,NA,NA,NA
"ASV_15048",NA,NA,NA,NA,NA,NA,NA
"ASV_15049","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15050","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15051","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales",NA,NA,NA
"ASV_15052","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"ASV_15053","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_15054","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10",NA
"ASV_15055","Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae","Calorithrix",NA
"ASV_15056",NA,NA,NA,NA,NA,NA,NA
"ASV_15057","Bacteria","Bacteroidota","Bacteroidia","Cytophagales",NA,NA,NA
"ASV_15058","Bacteria","Bacteroidota","Bacteroidia","Cytophagales",NA,NA,NA
"ASV_15059","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_15060","Bacteria","NB1-j",NA,NA,NA,NA,NA
"ASV_15061","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae",NA,NA
"ASV_15062",NA,NA,NA,NA,NA,NA,NA
"ASV_15063","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15064","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15065","Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales",NA,NA,NA
"ASV_15066","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_15067",NA,NA,NA,NA,NA,NA,NA
"ASV_15068","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15069","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15070",NA,NA,NA,NA,NA,NA,NA
"ASV_15071","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15072","Bacteria","Verrucomicrobiota","Lentisphaeria","P.palmC41",NA,NA,NA
"ASV_15073","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15074","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Phycisphaera",NA
"ASV_15075","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter",NA
"ASV_15076","Bacteria","Verrucomicrobiota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae","MSBL3",NA
"ASV_15077","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae",NA,NA
"ASV_15079","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15080","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"ASV_15082","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Rubidimonas",NA
"ASV_15083",NA,NA,NA,NA,NA,NA,NA
"ASV_15084",NA,NA,NA,NA,NA,NA,NA
"ASV_15085","Bacteria","Desulfobacterota","Desulfuromonadia","PB19",NA,NA,NA
"ASV_15086","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_15087","Bacteria","Planctomycetota","BD7-11",NA,NA,NA,NA
"ASV_15088",NA,NA,NA,NA,NA,NA,NA
"ASV_15089","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"ASV_15090",NA,NA,NA,NA,NA,NA,NA
"ASV_15091","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15092",NA,NA,NA,NA,NA,NA,NA
"ASV_15094",NA,NA,NA,NA,NA,NA,NA
"ASV_15095","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Urania-1B-19 marine sediment group",NA
"ASV_15096","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15097","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"ASV_15098","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Actibacter",NA
"ASV_15099","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15100","Bacteria","Margulisbacteria",NA,NA,NA,NA,NA
"ASV_15102","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"ASV_15103",NA,NA,NA,NA,NA,NA,NA
"ASV_15104","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae",NA,NA
"ASV_15105","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",NA
"ASV_15106","Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae",NA,NA
"ASV_15107",NA,NA,NA,NA,NA,NA,NA
"ASV_15108","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15109","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15110","Bacteria","Proteobacteria","Gammaproteobacteria","KI89A clade",NA,NA,NA
"ASV_15111","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15112","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_15113","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15114",NA,NA,NA,NA,NA,NA,NA
"ASV_15115","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae",NA,NA
"ASV_15116","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15117","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15118","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Terasakiellaceae","Terasakiella",NA
"ASV_15119","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"ASV_15120",NA,NA,NA,NA,NA,NA,NA
"ASV_15121","Bacteria","Cyanobacteria",NA,NA,NA,NA,NA
"ASV_15122","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15123",NA,NA,NA,NA,NA,NA,NA
"ASV_15124","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"ASV_15125","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15126","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula",NA
"ASV_15127",NA,NA,NA,NA,NA,NA,NA
"ASV_15128","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Candidatus Thiobios",NA
"ASV_15130","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV_15131","Bacteria","Planctomycetota","Pla4 lineage",NA,NA,NA,NA
"ASV_15132","Bacteria","Planctomycetota","OM190",NA,NA,NA,NA
"ASV_15133",NA,NA,NA,NA,NA,NA,NA
"ASV_15134","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",NA,NA
"ASV_15136",NA,NA,NA,NA,NA,NA,NA
"ASV_15138","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_15139",NA,NA,NA,NA,NA,NA,NA
"ASV_15140",NA,NA,NA,NA,NA,NA,NA
"ASV_15141","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_15142","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15143",NA,NA,NA,NA,NA,NA,NA
"ASV_15144","Bacteria","Proteobacteria","Gammaproteobacteria","EC3",NA,NA,NA
"ASV_15145",NA,NA,NA,NA,NA,NA,NA
"ASV_15146",NA,NA,NA,NA,NA,NA,NA
"ASV_15147",NA,NA,NA,NA,NA,NA,NA
"ASV_15148","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15149",NA,NA,NA,NA,NA,NA,NA
"ASV_15150","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27 clade",NA
"ASV_15151",NA,NA,NA,NA,NA,NA,NA
"ASV_15152","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15153",NA,NA,NA,NA,NA,NA,NA
"ASV_15154",NA,NA,NA,NA,NA,NA,NA
"ASV_15155","Bacteria","Planctomycetota","Phycisphaerae","C86",NA,NA,NA
"ASV_15156",NA,NA,NA,NA,NA,NA,NA
"ASV_15157",NA,NA,NA,NA,NA,NA,NA
"ASV_15158",NA,NA,NA,NA,NA,NA,NA
"ASV_15159","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae",NA,NA
"ASV_15160","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium",NA
"ASV_15161",NA,NA,NA,NA,NA,NA,NA
"ASV_15162",NA,NA,NA,NA,NA,NA,NA
"ASV_15163","Bacteria","Cyanobacteria","Cyanobacteriia",NA,NA,NA,NA
"ASV_15164","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15165","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_15166",NA,NA,NA,NA,NA,NA,NA
"ASV_15167","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15168","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae",NA,NA
"ASV_15169",NA,NA,NA,NA,NA,NA,NA
"ASV_15170",NA,NA,NA,NA,NA,NA,NA
"ASV_15171","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15172","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15173","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"ASV_15174",NA,NA,NA,NA,NA,NA,NA
"ASV_15176","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales",NA,NA,NA
"ASV_15177",NA,NA,NA,NA,NA,NA,NA
"ASV_15178",NA,NA,NA,NA,NA,NA,NA
"ASV_15179","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA
"ASV_15180","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae",NA,NA
"ASV_15181",NA,NA,NA,NA,NA,NA,NA
"ASV_15182","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Fuerstia",NA
"ASV_15183","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15184","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15185","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales",NA,NA,NA
"ASV_15186","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"ASV_15187","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"ASV_15188","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"ASV_15189","Bacteria","Patescibacteria","Parcubacteria","Candidatus Kaiserbacteria",NA,NA,NA
"ASV_15191",NA,NA,NA,NA,NA,NA,NA
"ASV_15192",NA,NA,NA,NA,NA,NA,NA
"ASV_15193",NA,NA,NA,NA,NA,NA,NA
"ASV_15194",NA,NA,NA,NA,NA,NA,NA
"ASV_15196",NA,NA,NA,NA,NA,NA,NA
"ASV_15197","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15198",NA,NA,NA,NA,NA,NA,NA
"ASV_15199","Bacteria","Planctomycetota","BD7-11",NA,NA,NA,NA
"ASV_15200","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15201",NA,NA,NA,NA,NA,NA,NA
"ASV_15203","Bacteria","Cyanobacteria","Cyanobacteriia","Limnotrichales","Limnotrichaceae","Limnothrix",NA
"ASV_15204",NA,NA,NA,NA,NA,NA,NA
"ASV_15205","Bacteria","Dependentiae","Babeliae","Babeliales",NA,NA,NA
"ASV_15206",NA,NA,NA,NA,NA,NA,NA
"ASV_15207",NA,NA,NA,NA,NA,NA,NA
"ASV_15208","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_15209",NA,NA,NA,NA,NA,NA,NA
"ASV_15210","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15211",NA,NA,NA,NA,NA,NA,NA
"ASV_15212",NA,NA,NA,NA,NA,NA,NA
"ASV_15213","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"ASV_15214","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA
"ASV_15215","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15216","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15217","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphobacterium",NA
"ASV_15218","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_15219","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_15220","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Porticoccaceae","SAR92 clade",NA
"ASV_15221",NA,NA,NA,NA,NA,NA,NA
"ASV_15222","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15223","Bacteria","Desulfobacterota","Desulfuromonadia",NA,NA,NA,NA
"ASV_15224","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"ASV_15225","Bacteria","Bacteroidota","Bacteroidia","Cytophagales",NA,NA,NA
"ASV_15226","Bacteria","Cyanobacteria","Cyanobacteriia",NA,NA,NA,NA
"ASV_15227","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Reichenbachiella",NA
"ASV_15228","Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmataceae","Mycoplasma",NA
"ASV_15230","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum",NA
"ASV_15231","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"ASV_15232",NA,NA,NA,NA,NA,NA,NA
"ASV_15233","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Marinoscillum",NA
"ASV_15234",NA,NA,NA,NA,NA,NA,NA
"ASV_15235","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family_4","Wenzhouxiangella",NA
"ASV_15236","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"ASV_15237",NA,NA,NA,NA,NA,NA,NA
"ASV_15238",NA,NA,NA,NA,NA,NA,NA
"ASV_15239","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage",NA
"ASV_15240","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"ASV_15241","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Fabibacter",NA
"ASV_15242","Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae",NA,NA
"ASV_15243","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Rubritalea",NA
"ASV_15244","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter",NA
"ASV_15246","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_15247","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_15248",NA,NA,NA,NA,NA,NA,NA
"ASV_15249","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Paraspirulinaceae","Spirulina DRTO-55.2",NA
"ASV_15250",NA,NA,NA,NA,NA,NA,NA
"ASV_15251","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10",NA
"ASV_15252",NA,NA,NA,NA,NA,NA,NA
"ASV_15253","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02",NA
"ASV_15254","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15255",NA,NA,NA,NA,NA,NA,NA
"ASV_15256","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15257",NA,NA,NA,NA,NA,NA,NA
"ASV_15258","Bacteria","Cyanobacteria","Cyanobacteriia",NA,NA,NA,NA
"ASV_15259",NA,NA,NA,NA,NA,NA,NA
"ASV_15260",NA,NA,NA,NA,NA,NA,NA
"ASV_15261","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Candidatus Megaira",NA
"ASV_15263","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium",NA
"ASV_15264",NA,NA,NA,NA,NA,NA,NA
"ASV_15265","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulfotalea",NA
"ASV_15266","Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae",NA,NA
"ASV_15267",NA,NA,NA,NA,NA,NA,NA
"ASV_15269","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15271","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"ASV_15272","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Cyanobacteriaceae","Cyanobacterium CLg1",NA
"ASV_15273","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",NA
"ASV_15274","Bacteria","Planctomycetota","vadinHA49",NA,NA,NA,NA
"ASV_15275","Bacteria","NB1-j",NA,NA,NA,NA,NA
"ASV_15276","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales",NA,NA,NA
"ASV_15277","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15278","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae",NA,NA
"ASV_15279",NA,NA,NA,NA,NA,NA,NA
"ASV_15280","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15281",NA,NA,NA,NA,NA,NA,NA
"ASV_15282","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales",NA,NA,NA
"ASV_15283","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_15285","Bacteria","Firmicutes",NA,NA,NA,NA,NA
"ASV_15286","Bacteria","Planctomycetota","OM190",NA,NA,NA,NA
"ASV_15288",NA,NA,NA,NA,NA,NA,NA
"ASV_15289","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,NA
"ASV_15290","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_15291","Bacteria","Cyanobacteria","Cyanobacteriia",NA,NA,NA,NA
"ASV_15292","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales",NA,NA,NA
"ASV_15294","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aestuariibacter",NA
"ASV_15295","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15296",NA,NA,NA,NA,NA,NA,NA
"ASV_15297","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_15299",NA,NA,NA,NA,NA,NA,NA
"ASV_15300","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"ASV_15301","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007",NA,NA
"ASV_15302","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV_15303","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86 clade",NA,NA,NA
"ASV_15304","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15305","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15306","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5) clade",NA
"ASV_15308","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae",NA,NA
"ASV_15309","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_15310","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10",NA
"ASV_15311","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales",NA,NA,NA
"ASV_15312","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfobulbus",NA
"ASV_15314","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter",NA
"ASV_15317",NA,NA,NA,NA,NA,NA,NA
"ASV_15318","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_15319","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007",NA,NA
"ASV_15320","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Cenarchaeum",NA
"ASV_15321","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Cerasicoccus",NA
"ASV_15322","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_15323","Bacteria","Cyanobacteria","Cyanobacteriia",NA,NA,NA,NA
"ASV_15324","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Rubidimonas",NA
"ASV_15325","Bacteria","Planctomycetota","BD7-11",NA,NA,NA,NA
"ASV_15326","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10",NA
"ASV_15327","Bacteria","Proteobacteria","Gammaproteobacteria","OM182 clade",NA,NA,NA
"ASV_15328",NA,NA,NA,NA,NA,NA,NA
"ASV_15329","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Cerasicoccus",NA
"ASV_15330","Bacteria","MBNT15",NA,NA,NA,NA,NA
"ASV_15331","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15332","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter",NA
"ASV_15333",NA,NA,NA,NA,NA,NA,NA
"ASV_15335","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15336","Bacteria","Planctomycetota","Pla3 lineage",NA,NA,NA,NA
"ASV_15337","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15338","Bacteria","Proteobacteria","Alphaproteobacteria","Kiloniellales",NA,NA,NA
"ASV_15339",NA,NA,NA,NA,NA,NA,NA
"ASV_15341","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_15342","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_15343","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_15344",NA,NA,NA,NA,NA,NA,NA
