sample_ID,bag_num,sample_ID2,Fragment_number,Health,collection_date,Month,Year,Samp_trip,joining_info,order,species,time_Reef,reef,Genotype,Cluster,sampling_trip,X,colour_reef,colour_genotype,colour_reef_genotype,colour_timepoint,colour_timepoint_reef,cluster_latitude,cluster_longitude,cluster_depth
apal_ndr_gHS1_cl63_fr4_AH_2019-06-26,bagnumber-1188,apal_ndr_gHS1_cl63_fr4_AH_2019-06-26,4,AH,26-Jun-19,June,2019,Trip_3,HS1_Cluster_63_4_ndr,45,apal,3_ndr,ndr,HS1,63,3,NA,maroon2,greenyellow,olivedrab1,maroon2,greenyellow,25.1302969,-80.2938556,12.6
apal_ndr_gHS1_cl63_fr5_AH_2019-06-26,bagnumber-1189,apal_ndr_gHS1_cl63_fr5_AH_2019-06-26,5,AH,26-Jun-19,June,2019,Trip_3,HS1_Cluster_63_5_ndr,46,apal,3_ndr,ndr,HS1,63,3,NA,maroon2,greenyellow,olivedrab1,maroon2,greenyellow,25.1302969,-80.2938556,12.6
apal_ndr_gCN2_cl57_fr3_AH_2019-06-26,bagnumber-1196,apal_ndr_gCN2_cl57_fr3_AH_2019-06-26,3,AH,26-Jun-19,June,2019,Trip_3,CN2_Cluster_57_3_ndr,47,apal,3_ndr,ndr,CN2,57,3,NA,maroon2,blue4,greenyellow,maroon2,greenyellow,25.1303246,-80.2938481,10.7
apal_ndr_gCN2_cl57_fr4_AH_2019-06-26,bagnumber-1197,apal_ndr_gCN2_cl57_fr4_AH_2019-06-26,4,AH,26-Jun-19,June,2019,Trip_3,CN2_Cluster_57_4_ndr,48,apal,3_ndr,ndr,CN2,57,3,NA,maroon2,blue4,greenyellow,maroon2,greenyellow,25.1303246,-80.2938481,10.7
apal_ndr_gCN2_cl57_fr5_AH_2019-06-26,bagnumber-1198,apal_ndr_gCN2_cl57_fr5_AH_2019-06-26,5,AH,26-Jun-19,June,2019,Trip_3,CN2_Cluster_57_5_ndr,49,apal,3_ndr,ndr,CN2,57,3,NA,maroon2,blue4,greenyellow,maroon2,greenyellow,25.1303246,-80.2938481,10.7
apal_ndr_gHS1_cl70_fr3_AH_2019-06-26,bagnumber-1217,apal_ndr_gHS1_cl70_fr3_AH_2019-06-26,3,AH,26-Jun-19,June,2019,Trip_3,HS1_Cluster_70_3_ndr,50,apal,3_ndr,ndr,HS1,70,3,NA,maroon2,greenyellow,olivedrab1,maroon2,greenyellow,25.1302873,-80.2938389,12.6
apal_ndr_gHS1_cl70_fr4_AH_2019-06-26,bagnumber-1218,apal_ndr_gHS1_cl70_fr4_AH_2019-06-26,4,AH,26-Jun-19,June,2019,Trip_3,HS1_Cluster_70_4_ndr,51,apal,3_ndr,ndr,HS1,70,3,NA,maroon2,greenyellow,olivedrab1,maroon2,greenyellow,25.1302873,-80.2938389,12.6
apal_ndr_gHS1_cl70_fr5_AH_2019-06-26,bagnumber-1219,apal_ndr_gHS1_cl70_fr5_AH_2019-06-26,5,AH,26-Jun-19,June,2019,Trip_3,HS1_Cluster_70_5_ndr,52,apal,3_ndr,ndr,HS1,70,3,NA,maroon2,greenyellow,olivedrab1,maroon2,greenyellow,25.1302873,-80.2938389,12.6
apal_ndr_gHS1_cl67_fr3_AH_2019-06-26,bagnumber-1223,apal_ndr_gHS1_cl67_fr3_AH_2019-06-26,3,AH,26-Jun-19,June,2019,Trip_3,HS1_Cluster_67_3_ndr,53,apal,3_ndr,ndr,HS1,67,3,NA,maroon2,greenyellow,olivedrab1,maroon2,greenyellow,25.1303102,-80.293823,12.6
apal_ndr_gHS1_cl67_fr6_AH_2019-06-26,bagnumber-1224,apal_ndr_gHS1_cl67_fr6_AH_2019-06-26,6,AH,26-Jun-19,June,2019,Trip_3,HS1_Cluster_67_6_ndr,54,apal,3_ndr,ndr,HS1,67,3,NA,maroon2,greenyellow,olivedrab1,maroon2,greenyellow,25.1303102,-80.293823,12.6
apal_ndr_gHS1_cl67_fr7_AH_2019-06-26,bagnumber-1225,apal_ndr_gHS1_cl67_fr7_AH_2019-06-26,7,AH,26-Jun-19,June,2019,Trip_3,HS1_Cluster_67_7_ndr,55,apal,3_ndr,ndr,HS1,67,3,NA,maroon2,greenyellow,olivedrab1,maroon2,greenyellow,25.1303102,-80.293823,12.6
apal_ndr_gCN2_cl65_fr3_AH_2019-06-26,bagnumber-1226,apal_ndr_gCN2_cl65_fr3_AH_2019-06-26,3,AH,26-Jun-19,June,2019,Trip_3,CN2_Cluster_65_3_ndr,56,apal,3_ndr,ndr,CN2,65,3,NA,maroon2,blue4,greenyellow,maroon2,greenyellow,25.1303122,-80.293845,11.6
apal_ndr_gCN2_cl65_fr6_AH_2019-06-26,bagnumber-1227,apal_ndr_gCN2_cl65_fr6_AH_2019-06-26,6,AH,26-Jun-19,June,2019,Trip_3,CN2_Cluster_65_6_ndr,57,apal,3_ndr,ndr,CN2,65,3,NA,maroon2,blue4,greenyellow,maroon2,greenyellow,25.1303122,-80.293845,11.6
apal_ndr_gCN2_cl65_fr7_AH_2019-06-26,bagnumber-1228,apal_ndr_gCN2_cl65_fr7_AH_2019-06-26,7,AH,26-Jun-19,June,2019,Trip_3,CN2_Cluster_65_7_ndr,58,apal,3_ndr,ndr,CN2,65,3,NA,maroon2,blue4,greenyellow,maroon2,greenyellow,25.1303122,-80.293845,11.6
apal_ndr_gCN2_cl15_fr3_AH_2019-06-26,bagnumber-1267,apal_ndr_gCN2_cl15_fr3_AH_2019-06-26,3,AH,26-Jun-19,June,2019,Trip_3,CN2_Cluster_15_3_ndr,59,apal,3_ndr,ndr,CN2,15,3,NA,maroon2,blue4,greenyellow,maroon2,greenyellow,25.1303356,-80.2939744,11.8
apal_ndr_gCN2_cl15_fr5_AH_2019-06-26,bagnumber-1268,apal_ndr_gCN2_cl15_fr5_AH_2019-06-26,5,AH,26-Jun-19,June,2019,Trip_3,CN2_Cluster_15_5_ndr,60,apal,3_ndr,ndr,CN2,15,3,NA,maroon2,blue4,greenyellow,maroon2,greenyellow,25.1303356,-80.2939744,11.8
apal_ndr_gCN2_cl15_fr6_AH_2019-06-26,bagnumber-1269,apal_ndr_gCN2_cl15_fr6_AH_2019-06-26,6,AH,26-Jun-19,June,2019,Trip_3,CN2_Cluster_15_6_ndr,61,apal,3_ndr,ndr,CN2,15,3,NA,maroon2,blue4,greenyellow,maroon2,greenyellow,25.1303356,-80.2939744,11.8
apal_pr_gCN4_cl72_frA_AH_2019-07-02,bagnumber-1328,apal_pr_gCN4_cl72_frA_AH_2019-07-02,A,AH,2-Jul-19,July,2019,Trip_3,CN4_Cluster_72_A_pr,62,apal,3_pr,pr,CN4,72,3,NA,greenyellow,maroon2,ivory3,maroon2,slategrey,24.9845657,-80.4165627,17.7
apal_pr_gCN4_cl72_fr3_AH_2019-07-02,bagnumber-1329,apal_pr_gCN4_cl72_fr3_AH_2019-07-02,3,AH,2-Jul-19,July,2019,Trip_3,CN4_Cluster_72_3_pr,63,apal,3_pr,pr,CN4,72,3,NA,greenyellow,maroon2,ivory3,maroon2,slategrey,24.9845657,-80.4165627,17.7
apal_pr_gCN4_cl72_fr5_AH_2019-07-02,bagnumber-1330,apal_pr_gCN4_cl72_fr5_AH_2019-07-02,5,AH,2-Jul-19,July,2019,Trip_3,CN4_Cluster_72_5_pr,64,apal,3_pr,pr,CN4,72,3,NA,greenyellow,maroon2,ivory3,maroon2,slategrey,24.9845657,-80.4165627,17.7
apal_pr_gML2_cl65_fr4_AH_2019-07-02,bagnumber-1334,apal_pr_gML2_cl65_fr4_AH_2019-07-02,4,AH,2-Jul-19,July,2019,Trip_3,ML2_Cluster_65_4_pr,65,apal,3_pr,pr,ML2,65,3,NA,greenyellow,orangered,slategrey,maroon2,slategrey,24.9845482,-80.4165515,17.7
apal_pr_gML2_cl65_fr5_AH_2019-07-02,bagnumber-1335,apal_pr_gML2_cl65_fr5_AH_2019-07-02,5,AH,2-Jul-19,July,2019,Trip_3,ML2_Cluster_65_5_pr,66,apal,3_pr,pr,ML2,65,3,NA,greenyellow,orangered,slategrey,maroon2,slategrey,24.9845482,-80.4165515,17.7
apal_pr_gML2_cl65_fr6_AH_2019-07-02,bagnumber-1336,apal_pr_gML2_cl65_fr6_AH_2019-07-02,6,AH,2-Jul-19,July,2019,Trip_3,ML2_Cluster_65_6_pr,67,apal,3_pr,pr,ML2,65,3,NA,greenyellow,orangered,slategrey,maroon2,slategrey,24.9845482,-80.4165515,17.7
apal_pr_gML2_cl64_fr4_AH_2019-07-02,bagnumber-1337,apal_pr_gML2_cl64_fr4_AH_2019-07-02,4,AH,2-Jul-19,July,2019,Trip_3,ML2_Cluster_64_4_pr,68,apal,3_pr,pr,ML2,64,3,NA,greenyellow,orangered,slategrey,maroon2,slategrey,24.9845404,-80.4165528,16.7
apal_pr_gML2_cl64_fr5_AH_2019-07-02,bagnumber-1338,apal_pr_gML2_cl64_fr5_AH_2019-07-02,5,AH,2-Jul-19,July,2019,Trip_3,ML2_Cluster_64_5_pr,69,apal,3_pr,pr,ML2,64,3,NA,greenyellow,orangered,slategrey,maroon2,slategrey,24.9845404,-80.4165528,16.7
apal_pr_gML2_cl64_fr6_AH_2019-07-02,bagnumber-1339,apal_pr_gML2_cl64_fr6_AH_2019-07-02,6,AH,2-Jul-19,July,2019,Trip_3,ML2_Cluster_64_6_pr,70,apal,3_pr,pr,ML2,64,3,NA,greenyellow,orangered,slategrey,maroon2,slategrey,24.9845404,-80.4165528,16.7
apal_pr_gML2_cl58_frB_AH_2019-07-02,bagnumber-1340,apal_pr_gML2_cl58_frB_AH_2019-07-02,B,AH,2-Jul-19,July,2019,Trip_3,ML2_Cluster_58_B_pr,71,apal,3_pr,pr,ML2,58,3,NA,greenyellow,orangered,slategrey,maroon2,slategrey,24.9845308,-80.4165403,18.7
apal_pr_gML2_cl58_fr3_AH_2019-07-02,bagnumber-1381,apal_pr_gML2_cl58_fr3_AH_2019-07-02,3,AH,2-Jul-19,July,2019,Trip_3,ML2_Cluster_58_3_pr,72,apal,3_pr,pr,ML2,58,3,NA,greenyellow,orangered,slategrey,maroon2,slategrey,24.9845308,-80.4165403,18.7
apal_pr_gML2_cl58_fr6_AH_2019-07-02,bagnumber-1382,apal_pr_gML2_cl58_fr6_AH_2019-07-02,6,AH,2-Jul-19,July,2019,Trip_3,ML2_Cluster_58_6_pr,73,apal,3_pr,pr,ML2,58,3,NA,greenyellow,orangered,slategrey,maroon2,slategrey,24.9845308,-80.4165403,18.7
apal_pr_gHS1_cl112_fr3_AH_2019-07-02,bagnumber-1400,apal_pr_gHS1_cl112_fr3_AH_2019-07-02,3,AH,2-Jul-19,July,2019,Trip_3,HS1_Cluster_112_3_pr,74,apal,3_pr,pr,HS1,112,3,NA,greenyellow,greenyellow,black,maroon2,slategrey,24.9845578,-80.4166775,16.8
apal_pr_gHS1_cl112_fr4_AH_2019-07-02,bagnumber-1401,apal_pr_gHS1_cl112_fr4_AH_2019-07-02,4,AH,2-Jul-19,July,2019,Trip_3,HS1_Cluster_112_4_pr,75,apal,3_pr,pr,HS1,112,3,NA,greenyellow,greenyellow,black,maroon2,slategrey,24.9845578,-80.4166775,16.8
apal_pr_gHS1_cl112_fr6_AH_2019-07-02,bagnumber-1402,apal_pr_gHS1_cl112_fr6_AH_2019-07-02,6,AH,2-Jul-19,July,2019,Trip_3,HS1_Cluster_112_6_pr,76,apal,3_pr,pr,HS1,112,3,NA,greenyellow,greenyellow,black,maroon2,slategrey,24.9845578,-80.4166775,16.8
apal_pr_gHS1_cl108_fr4_AH_2019-07-02,bagnumber-1403,apal_pr_gHS1_cl108_fr4_AH_2019-07-02,4,AH,2-Jul-19,July,2019,Trip_3,HS1_Cluster_108_4_pr,77,apal,3_pr,pr,HS1,108,3,NA,greenyellow,greenyellow,black,maroon2,slategrey,24.9845645,-80.4166745,16.8
