"collection_date" "reef" "Speed.cm.s." "Bearing.degrees." "Velocity.N.cm.s." "Velocity.E.cm.s." "Temperature.C." "Year" "Si.uM." "NO2.uM." "N.N.uM." "NO3.uM." "PO4.uM." "sample_ID" "bag_num" "sample_ID2" "Fragment_number" "Health" "Month" "Samp_trip" "joining_info" "order" "species" "time_Reef" "Genotype" "Cluster" "sampling_trip" "X" "colour_reef" "colour_genotype" "colour_reef_genotype" "colour_timepoint" "colour_timepoint_reef" "cluster_latitude" "cluster_longitude" "cluster_depth"
"22" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gCN2_cl75_fr3_AH_2019-11-18" "bagnumber-2044" "apal_pr_gCN2_cl75_fr3_AH_2019-11-18" "3" "AH" "November" "Trip_5" "CN2_Cluster_75_3_pr" 221 "apal" "5_pr" "CN2" 75 5 NA "greenyellow" "blue4" "maroon2" "orangered" "mediumpurple" 24.984544 -80.4165801 15.7
"23" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gCN2_cl75_fr4_AH_2019-11-18" "bagnumber-2045" "apal_pr_gCN2_cl75_fr4_AH_2019-11-18" "4" "AH" "November" "Trip_5" "CN2_Cluster_75_4_pr" 222 "apal" "5_pr" "CN2" 75 5 NA "greenyellow" "blue4" "maroon2" "orangered" "mediumpurple" 24.984544 -80.4165801 15.7
"24" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gCN2_cl75_fr7_AH_2019-11-18" "bagnumber-2046" "apal_pr_gCN2_cl75_fr7_AH_2019-11-18" "7" "AH" "November" "Trip_5" "CN2_Cluster_75_7_pr" 223 "apal" "5_pr" "CN2" 75 5 NA "greenyellow" "blue4" "maroon2" "orangered" "mediumpurple" 24.984544 -80.4165801 15.7
"25" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gCN2_cl75_fr6_AH_2019-11-18" "bagnumber-2047" "apal_pr_gCN2_cl75_fr6_AH_2019-11-18" "6" "AH" "November" "Trip_5" "CN2_Cluster_75_6_pr" 224 "apal" "5_pr" "CN2" 75 5 NA "greenyellow" "blue4" "maroon2" "orangered" "mediumpurple" 24.984544 -80.4165801 15.7
"26" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gCN4_cl72_frA_AH_2019-11-18" "bagnumber-2057" "apal_pr_gCN4_cl72_frA_AH_2019-11-18" "A" "AH" "November" "Trip_5" "CN4_Cluster_72_A_pr" 225 "apal" "5_pr" "CN4" 72 5 NA "greenyellow" "maroon2" "ivory3" "orangered" "mediumpurple" 24.9845657 -80.4165627 17.7
"27" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gCN4_cl72_fr3_AH_2019-11-18" "bagnumber-2058" "apal_pr_gCN4_cl72_fr3_AH_2019-11-18" "3" "AH" "November" "Trip_5" "CN4_Cluster_72_3_pr" 226 "apal" "5_pr" "CN4" 72 5 NA "greenyellow" "maroon2" "ivory3" "orangered" "mediumpurple" 24.9845657 -80.4165627 17.7
"28" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gCN4_cl72_fr5_AH_2019-11-18" "bagnumber-2059" "apal_pr_gCN4_cl72_fr5_AH_2019-11-18" "5" "AH" "November" "Trip_5" "CN4_Cluster_72_5_pr" 227 "apal" "5_pr" "CN4" 72 5 NA "greenyellow" "maroon2" "ivory3" "orangered" "mediumpurple" 24.9845657 -80.4165627 17.7
"29" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gML2_cl58_frA_AH_2019-11-18" "bagnumber-2073" "apal_pr_gML2_cl58_frA_AH_2019-11-18" "A" "AH" "November" "Trip_5" "ML2_Cluster_58_A_pr" 229 "apal" "5_pr" "ML2" 58 5 NA "greenyellow" "orangered" "slategrey" "orangered" "mediumpurple" 24.9845308 -80.4165403 18.7
"30" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gML2_cl58_frB_AH_2019-11-18" "bagnumber-2074" "apal_pr_gML2_cl58_frB_AH_2019-11-18" "B" "AH" "November" "Trip_5" "ML2_Cluster_58_B_pr" 230 "apal" "5_pr" "ML2" 58 5 NA "greenyellow" "orangered" "slategrey" "orangered" "mediumpurple" 24.9845308 -80.4165403 18.7
"31" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gML2_cl58_fr3_AH_2019-11-18" "bagnumber-2075" "apal_pr_gML2_cl58_fr3_AH_2019-11-18" "3" "AH" "November" "Trip_5" "ML2_Cluster_58_3_pr" 231 "apal" "5_pr" "ML2" 58 5 NA "greenyellow" "orangered" "slategrey" "orangered" "mediumpurple" 24.9845308 -80.4165403 18.7
"32" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gML2_cl58_fr6_AH_2019-11-18" "bagnumber-2076" "apal_pr_gML2_cl58_fr6_AH_2019-11-18" "6" "AH" "November" "Trip_5" "ML2_Cluster_58_6_pr" 232 "apal" "5_pr" "ML2" 58 5 NA "greenyellow" "orangered" "slategrey" "orangered" "mediumpurple" 24.9845308 -80.4165403 18.7
"33" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gML2_cl64_fr4_AH_2019-11-18" "bagnumber-2077" "apal_pr_gML2_cl64_fr4_AH_2019-11-18" "4" "AH" "November" "Trip_5" "ML2_Cluster_64_4_pr" 233 "apal" "5_pr" "ML2" 64 5 NA "greenyellow" "orangered" "slategrey" "orangered" "mediumpurple" 24.9845404 -80.4165528 16.7
"34" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gML2_cl64_fr5_AH_2019-11-18" "bagnumber-2078" "apal_pr_gML2_cl64_fr5_AH_2019-11-18" "5" "AH" "November" "Trip_5" "ML2_Cluster_64_5_pr" 234 "apal" "5_pr" "ML2" 64 5 NA "greenyellow" "orangered" "slategrey" "orangered" "mediumpurple" 24.9845404 -80.4165528 16.7
"35" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gML2_cl64_fr6_AH_2019-11-18" "bagnumber-2079" "apal_pr_gML2_cl64_fr6_AH_2019-11-18" "6" "AH" "November" "Trip_5" "ML2_Cluster_64_6_pr" 235 "apal" "5_pr" "ML2" 64 5 NA "greenyellow" "orangered" "slategrey" "orangered" "mediumpurple" 24.9845404 -80.4165528 16.7
"36" "19-Nov-19" "cf" 6.36242957746479 196.98735915493 -3.04292253521127 -1.64345070422535 27.189835915493 2019 0.426166666666667 0.0176666666666667 0.272 0.254333333333333 0.055 "apal_cf_gML2_cl78_frB_AH_2019-11-19" "bagnumber-2025" "apal_cf_gML2_cl78_frB_AH_2019-11-19" "B" "AH" "November" "Trip_5" "ML2_Cluster_78_B_cf" 206 "apal" "5_cf" "ML2" 78 5 NA "blue4" "orangered" "yellow3" "orangered" "yellow3" 25.2206999 -80.2103693 20.9
"37" "19-Nov-19" "cf" 6.36242957746479 196.98735915493 -3.04292253521127 -1.64345070422535 27.189835915493 2019 0.426166666666667 0.0176666666666667 0.272 0.254333333333333 0.055 "apal_cf_gHS1_cl18_frB_AH_2019-11-19" "bagnumber-2026" "apal_cf_gHS1_cl18_frB_AH_2019-11-19" "B" "AH" "November" "Trip_5" "HS1_Cluster_18_B_cf" 207 "apal" "5_cf" "HS1" 18 5 NA "blue4" "greenyellow" "mediumpurple" "orangered" "yellow3" 25.2208501 -80.2102565 18.8
"38" "19-Nov-19" "cf" 6.36242957746479 196.98735915493 -3.04292253521127 -1.64345070422535 27.189835915493 2019 0.426166666666667 0.0176666666666667 0.272 0.254333333333333 0.055 "apal_cf_gHS1_cl18_fr3_AH_2019-11-19" "bagnumber-2027" "apal_cf_gHS1_cl18_fr3_AH_2019-11-19" "3" "AH" "November" "Trip_5" "HS1_Cluster_18_3_cf" 208 "apal" "5_cf" "HS1" 18 5 NA "blue4" "greenyellow" "mediumpurple" "orangered" "yellow3" 25.2208501 -80.2102565 18.8
"39" "19-Nov-19" "cf" 6.36242957746479 196.98735915493 -3.04292253521127 -1.64345070422535 27.189835915493 2019 0.426166666666667 0.0176666666666667 0.272 0.254333333333333 0.055 "apal_cf_gHS1_cl18_fr6_AH_2019-11-19" "bagnumber-2028" "apal_cf_gHS1_cl18_fr6_AH_2019-11-19" "6" "AH" "November" "Trip_5" "HS1_Cluster_18_6_cf" 209 "apal" "5_cf" "HS1" 18 5 NA "blue4" "greenyellow" "mediumpurple" "orangered" "yellow3" 25.2208501 -80.2102565 18.8
"40" "19-Nov-19" "cf" 6.36242957746479 196.98735915493 -3.04292253521127 -1.64345070422535 27.189835915493 2019 0.426166666666667 0.0176666666666667 0.272 0.254333333333333 0.055 "apal_cf_gHS1_cl17_fr3_AH_2019-11-19" "bagnumber-2029" "apal_cf_gHS1_cl17_fr3_AH_2019-11-19" "3" "AH" "November" "Trip_5" "HS1_Cluster_17_3_cf" 210 "apal" "5_cf" "HS1" 17 5 NA "blue4" "greenyellow" "mediumpurple" "orangered" "yellow3" 25.220845 -80.2102483 17.8
"41" "19-Nov-19" "cf" 6.36242957746479 196.98735915493 -3.04292253521127 -1.64345070422535 27.189835915493 2019 0.426166666666667 0.0176666666666667 0.272 0.254333333333333 0.055 "apal_cf_gHS1_cl17_fr4_AH_2019-11-19" "bagnumber-2030" "apal_cf_gHS1_cl17_fr4_AH_2019-11-19" "4" "AH" "November" "Trip_5" "HS1_Cluster_17_4_cf" 211 "apal" "5_cf" "HS1" 17 5 NA "blue4" "greenyellow" "mediumpurple" "orangered" "yellow3" 25.220845 -80.2102483 17.8
"42" "19-Nov-19" "cf" 6.36242957746479 196.98735915493 -3.04292253521127 -1.64345070422535 27.189835915493 2019 0.426166666666667 0.0176666666666667 0.272 0.254333333333333 0.055 "apal_cf_gHS1_cl15_frB_AH_2019-11-19" "bagnumber-2033" "apal_cf_gHS1_cl15_frB_AH_2019-11-19" "B" "AH" "November" "Trip_5" "HS1_Cluster_15_B_cf" 213 "apal" "5_cf" "HS1" 15 5 NA "blue4" "greenyellow" "mediumpurple" "orangered" "yellow3" 25.2208297 -80.2102237 17.6
"43" "19-Nov-19" "cf" 6.36242957746479 196.98735915493 -3.04292253521127 -1.64345070422535 27.189835915493 2019 0.426166666666667 0.0176666666666667 0.272 0.254333333333333 0.055 "apal_cf_gHS1_cl15_fr3_AH_2019-11-19" "bagnumber-2034" "apal_cf_gHS1_cl15_fr3_AH_2019-11-19" "3" "AH" "November" "Trip_5" "HS1_Cluster_15_3_cf" 214 "apal" "5_cf" "HS1" 15 5 NA "blue4" "greenyellow" "mediumpurple" "orangered" "yellow3" 25.2208297 -80.2102237 17.6
"44" "19-Nov-19" "cf" 6.36242957746479 196.98735915493 -3.04292253521127 -1.64345070422535 27.189835915493 2019 0.426166666666667 0.0176666666666667 0.272 0.254333333333333 0.055 "apal_cf_gHS1_cl15_fr4_AH_2019-11-19" "bagnumber-2035" "apal_cf_gHS1_cl15_fr4_AH_2019-11-19" "4" "AH" "November" "Trip_5" "HS1_Cluster_15_4_cf" 215 "apal" "5_cf" "HS1" 15 5 NA "blue4" "greenyellow" "mediumpurple" "orangered" "yellow3" 25.2208297 -80.2102237 17.6
"45" "19-Nov-19" "cf" 6.36242957746479 196.98735915493 -3.04292253521127 -1.64345070422535 27.189835915493 2019 0.426166666666667 0.0176666666666667 0.272 0.254333333333333 0.055 "apal_cf_gHS1_cl15_fr5_AH_2019-11-19" "bagnumber-2036" "apal_cf_gHS1_cl15_fr5_AH_2019-11-19" "5" "AH" "November" "Trip_5" "HS1_Cluster_15_5_cf" 216 "apal" "5_cf" "HS1" 15 5 NA "blue4" "greenyellow" "mediumpurple" "orangered" "yellow3" 25.2208297 -80.2102237 17.6
"46" "19-Nov-19" "cf" 6.36242957746479 196.98735915493 -3.04292253521127 -1.64345070422535 27.189835915493 2019 0.426166666666667 0.0176666666666667 0.272 0.254333333333333 0.055 "apal_cf_gCN2_cl11_fr3_AH_2019-11-19" "bagnumber-2037" "apal_cf_gCN2_cl11_fr3_AH_2019-11-19" "3" "AH" "November" "Trip_5" "CN2_Cluster_11_3_cf" 217 "apal" "5_cf" "CN2" 11 5 NA "blue4" "blue4" "blue4" "orangered" "yellow3" 25.2208448 -80.2102244 19.6
"47" "19-Nov-19" "cf" 6.36242957746479 196.98735915493 -3.04292253521127 -1.64345070422535 27.189835915493 2019 0.426166666666667 0.0176666666666667 0.272 0.254333333333333 0.055 "apal_cf_gCN2_cl11_fr4_AH_2019-11-19" "bagnumber-2038" "apal_cf_gCN2_cl11_fr4_AH_2019-11-19" "4" "AH" "November" "Trip_5" "CN2_Cluster_11_4_cf" 218 "apal" "5_cf" "CN2" 11 5 NA "blue4" "blue4" "blue4" "orangered" "yellow3" 25.2208448 -80.2102244 19.6
