,collection_date,Speed.cm.s.,Bearing.degrees.,Velocity.N.cm.s.,Velocity.E.cm.s.,Temperature.C.,reef,Genotype,Fragment_number,Month,Year,Fragment_num,day,Survey.,LiveFrag,L,W,H,Adjusted.Area,S01FragCount,Year.x,Si.uM.,NO2.uM.,N.N.uM.,NO3.uM.,PO4.uM.,sample_ID,sample_ID2,Health,Month.x,Samp_trip,joining_info,order,species,time_Reef,Cluster,sampling_trip,X,colour_reef,colour_genotype,colour_reef_genotype,colour_timepoint,colour_timepoint_reef,cluster_latitude,cluster_longitude,cluster_depth,depth,Year.y,Month.y,Lat_decimal,Long_decimal,avgchla_mgm.3,sdchla_mgm.3,avgSST_degC,sdSST_degC
bagnumber-518,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,CN2,4,February,2019,6.666666667,28,5,1,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gCN2_cl11_fr4_AH_2019-02-28,apal_cf_gCN2_cl11_fr4_AH_2019-02-28,AH,February,Trip_2,CN2_Cluster_11_4_cf,287,apal,2_cf,11,2,NA,blue4,blue4,blue4,blue4,blue4,25.2208448,-80.2102244,-19.6,19.6,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-519,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,CN2,5,February,2019,6.666666667,28,5,1,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gCN2_cl11_fr5_AH_2019-02-28,apal_cf_gCN2_cl11_fr5_AH_2019-02-28,AH,February,Trip_2,CN2_Cluster_11_5_cf,288,apal,2_cf,11,2,NA,blue4,blue4,blue4,blue4,blue4,25.2208448,-80.2102244,-19.6,19.6,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-2027,19-Nov-19,6.026627907,186.8205,-0.553918605,-0.571651163,26.21434744,cf,HS1,3,November,2019,16.66666667,19,9,1,NA,NA,NA,NA,7,2019,0.426166667,0.017666667,0.272,0.254333333,0.055,apal_cf_gHS1_cl18_fr3_AH_2019-11-19,apal_cf_gHS1_cl18_fr3_AH_2019-11-19,AH,November,Trip_5,HS1_Cluster_18_3_cf,208,apal,5_cf,18,5,NA,blue4,greenyellow,mediumpurple,orangered,yellow3,25.2208501,-80.2102565,-18.8,18.8,2019,November,25.221,-80.21,0.98994618,0.150965477,27.62378409,0.201932594
bagnumber-2028,19-Nov-19,6.026627907,186.8205,-0.553918605,-0.571651163,26.21434744,cf,HS1,6,November,2019,16.66666667,19,9,1,NA,NA,NA,NA,7,2019,0.426166667,0.017666667,0.272,0.254333333,0.055,apal_cf_gHS1_cl18_fr6_AH_2019-11-19,apal_cf_gHS1_cl18_fr6_AH_2019-11-19,AH,November,Trip_5,HS1_Cluster_18_6_cf,209,apal,5_cf,18,5,NA,blue4,greenyellow,mediumpurple,orangered,yellow3,25.2208501,-80.2102565,-18.8,18.8,2019,November,25.221,-80.21,0.98994618,0.150965477,27.62378409,0.201932594
bagnumber-2026,19-Nov-19,6.026627907,186.8205,-0.553918605,-0.571651163,26.21434744,cf,HS1,B,November,2019,16.66666667,19,9,0.666666667,NA,NA,NA,NA,7,2019,0.426166667,0.017666667,0.272,0.254333333,0.055,apal_cf_gHS1_cl18_frB_AH_2019-11-19,apal_cf_gHS1_cl18_frB_AH_2019-11-19,AH,November,Trip_5,HS1_Cluster_18_B_cf,207,apal,5_cf,18,5,NA,blue4,greenyellow,mediumpurple,orangered,yellow3,25.2208501,-80.2102565,-18.8,18.8,2019,November,25.221,-80.21,0.98994618,0.150965477,27.62378409,0.201932594
bagnumber-1017,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,HS1,3,June,2019,16.66666667,25,7,1,NA,NA,NA,71.56733333,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gHS1_cl18_fr3_AH_2019-06-25,apal_cf_gHS1_cl18_fr3_AH_2019-06-25,AH,June,Trip_3,HS1_Cluster_18_3_cf,8,apal,3_cf,18,3,NA,blue4,greenyellow,mediumpurple,maroon2,black,25.2208501,-80.2102565,-18.8,18.8,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-1019,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,HS1,6,June,2019,16.66666667,25,7,1,NA,NA,NA,107.9798,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gHS1_cl18_fr6_AH_2019-06-25,apal_cf_gHS1_cl18_fr6_AH_2019-06-25,AH,June,Trip_3,HS1_Cluster_18_6_cf,10,apal,3_cf,18,3,NA,blue4,greenyellow,mediumpurple,maroon2,black,25.2208501,-80.2102565,-18.8,18.8,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-1018,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,HS1,B,June,2019,16.66666667,25,7,0.666666667,NA,NA,NA,61.16713333,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gHS1_cl18_frB_AH_2019-06-25,apal_cf_gHS1_cl18_frB_AH_2019-06-25,AH,June,Trip_3,HS1_Cluster_18_B_cf,9,apal,3_cf,18,3,NA,blue4,greenyellow,mediumpurple,maroon2,black,25.2208501,-80.2102565,-18.8,18.8,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-530,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,HS1,3,February,2019,16.66666667,28,5,1,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gHS1_cl18_fr3_AH_2019-02-28,apal_cf_gHS1_cl18_fr3_AH_2019-02-28,AH,February,Trip_2,HS1_Cluster_18_3_cf,295,apal,2_cf,18,2,NA,blue4,greenyellow,mediumpurple,blue4,blue4,25.2208501,-80.2102565,-18.8,18.8,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-532,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,HS1,6,February,2019,16.66666667,28,5,1,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gHS1_cl18_fr6_AH_2019-02-28,apal_cf_gHS1_cl18_fr6_AH_2019-02-28,AH,February,Trip_2,HS1_Cluster_18_6_cf,297,apal,2_cf,18,2,NA,blue4,greenyellow,mediumpurple,blue4,blue4,25.2208501,-80.2102565,-18.8,18.8,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
