,collection_date,Speed.cm.s.,Bearing.degrees.,Velocity.N.cm.s.,Velocity.E.cm.s.,Temperature.C.,reef,Genotype,Fragment_number,Month,Year,Fragment_num,day,Survey.,LiveFrag,L,W,H,Adjusted.Area,S01FragCount,Year.x,Si.uM.,NO2.uM.,N.N.uM.,NO3.uM.,PO4.uM.,sample_ID,sample_ID2,Health,Month.x,Samp_trip,joining_info,order,species,time_Reef,Cluster,sampling_trip,X,colour_reef,colour_genotype,colour_reef_genotype,colour_timepoint,colour_timepoint_reef,cluster_latitude,cluster_longitude,cluster_depth,depth,Year.y,Month.y,Lat_decimal,Long_decimal,avgchla_mgm.3,sdchla_mgm.3,avgSST_degC,sdSST_degC
bagnumber-2030,19-Nov-19,6.026627907,186.8205,-0.553918605,-0.571651163,26.21434744,cf,HS1,4,November,2019,16.66666667,19,9,0.666666667,NA,NA,NA,NA,7,2019,0.426166667,0.017666667,0.272,0.254333333,0.055,apal_cf_gHS1_cl17_fr4_AH_2019-11-19,apal_cf_gHS1_cl17_fr4_AH_2019-11-19,AH,November,Trip_5,HS1_Cluster_17_4_cf,211,apal,5_cf,17,5,NA,blue4,greenyellow,mediumpurple,orangered,yellow3,25.220845,-80.2102483,-17.8,17.8,2019,November,25.221,-80.21,0.98994618,0.150965477,27.62378409,0.201932594
bagnumber-1020,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,HS1,3,June,2019,16.66666667,25,7,1,NA,NA,NA,71.56733333,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gHS1_cl17_fr3_AH_2019-06-25,apal_cf_gHS1_cl17_fr3_AH_2019-06-25,AH,June,Trip_3,HS1_Cluster_17_3_cf,11,apal,3_cf,17,3,NA,blue4,greenyellow,mediumpurple,maroon2,black,25.220845,-80.2102483,-17.8,17.8,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-1022,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,HS1,4,June,2019,16.66666667,25,7,0.666666667,NA,NA,NA,55.43636667,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gHS1_cl17_fr4_AH_2019-06-25,apal_cf_gHS1_cl17_fr4_AH_2019-06-25,AH,June,Trip_3,HS1_Cluster_17_4_cf,12,apal,3_cf,17,3,NA,blue4,greenyellow,mediumpurple,maroon2,black,25.220845,-80.2102483,-17.8,17.8,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-1023,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,HS1,5,June,2019,16.66666667,25,7,0.666666667,NA,NA,NA,86.79706667,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gHS1_cl17_fr5_AH_2019-06-25,apal_cf_gHS1_cl17_fr5_AH_2019-06-25,AH,June,Trip_3,HS1_Cluster_17_5_cf,13,apal,3_cf,17,3,NA,blue4,greenyellow,mediumpurple,maroon2,black,25.220845,-80.2102483,-17.8,17.8,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-1506,25-Sep-19,4.795925926,173.2167361,-1.273344907,-0.061684028,28.83825139,cf,HS1,3,September,2019,16.66666667,25,8,1,NA,NA,NA,NA,7,2019,0.066666667,0.033333333,1.551666667,1.518333333,0.046666667,apal_cf_gHS1_cl17_fr3_AH_2019-09-25,apal_cf_gHS1_cl17_fr3_AH_2019-09-25,AH,September,Trip_4,HS1_Cluster_17_3_cf,100,apal,4_cf,17,4,NA,blue4,greenyellow,mediumpurple,greenyellow,lightskyblue,25.220845,-80.2102483,-17.8,17.8,2019,September,25.221,-80.21,1.193063102,0,29.41867975,0.428518709
bagnumber-1507,25-Sep-19,4.795925926,173.2167361,-1.273344907,-0.061684028,28.83825139,cf,HS1,4,September,2019,16.66666667,25,8,0.666666667,NA,NA,NA,NA,7,2019,0.066666667,0.033333333,1.551666667,1.518333333,0.046666667,apal_cf_gHS1_cl17_fr4_AH_2019-09-25,apal_cf_gHS1_cl17_fr4_AH_2019-09-25,AH,September,Trip_4,HS1_Cluster_17_4_cf,101,apal,4_cf,17,4,NA,blue4,greenyellow,mediumpurple,greenyellow,lightskyblue,25.220845,-80.2102483,-17.8,17.8,2019,September,25.221,-80.21,1.193063102,0,29.41867975,0.428518709
bagnumber-1508,25-Sep-19,4.795925926,173.2167361,-1.273344907,-0.061684028,28.83825139,cf,HS1,5,September,2019,16.66666667,25,8,0.666666667,NA,NA,NA,NA,7,2019,0.066666667,0.033333333,1.551666667,1.518333333,0.046666667,apal_cf_gHS1_cl17_fr5_AH_2019-09-25,apal_cf_gHS1_cl17_fr5_AH_2019-09-25,AH,September,Trip_4,HS1_Cluster_17_5_cf,102,apal,4_cf,17,4,NA,blue4,greenyellow,mediumpurple,greenyellow,lightskyblue,25.220845,-80.2102483,-17.8,17.8,2019,September,25.221,-80.21,1.193063102,0,29.41867975,0.428518709
bagnumber-527,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,HS1,3,February,2019,16.66666667,28,5,1,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gHS1_cl17_fr3_AH_2019-02-28,apal_cf_gHS1_cl17_fr3_AH_2019-02-28,AH,February,Trip_2,HS1_Cluster_17_3_cf,292,apal,2_cf,17,2,NA,blue4,greenyellow,mediumpurple,blue4,blue4,25.220845,-80.2102483,-17.8,17.8,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-528,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,HS1,4,February,2019,16.66666667,28,5,0.666666667,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gHS1_cl17_fr4_AH_2019-02-28,apal_cf_gHS1_cl17_fr4_AH_2019-02-28,AH,February,Trip_2,HS1_Cluster_17_4_cf,293,apal,2_cf,17,2,NA,blue4,greenyellow,mediumpurple,blue4,blue4,25.220845,-80.2102483,-17.8,17.8,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-529,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,HS1,5,February,2019,16.66666667,28,5,0.666666667,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gHS1_cl17_fr5_AH_2019-02-28,apal_cf_gHS1_cl17_fr5_AH_2019-02-28,AH,February,Trip_2,HS1_Cluster_17_5_cf,294,apal,2_cf,17,2,NA,blue4,greenyellow,mediumpurple,blue4,blue4,25.220845,-80.2102483,-17.8,17.8,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-593,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,CN2,3,March,2019,78.33333333,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gCN2_cl81_fr3_AH_2019-03-01,apal_pr_gCN2_cl81_fr3_AH_2019-03-01,AH,March,Trip_2,CN2_Cluster_81_3_pr,311,apal,2_pr,81,2,NA,greenyellow,blue4,maroon2,blue4,orangered,24.9845614,-80.4165913,-17.7,17.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-594,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,CN2,4,March,2019,78.33333333,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gCN2_cl81_fr4_AH_2019-03-01,apal_pr_gCN2_cl81_fr4_AH_2019-03-01,AH,March,Trip_2,CN2_Cluster_81_4_pr,312,apal,2_pr,81,2,NA,greenyellow,blue4,maroon2,blue4,orangered,24.9845614,-80.4165913,-17.7,17.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-595,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,CN2,6,March,2019,78.33333333,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gCN2_cl81_fr6_AH_2019-03-01,apal_pr_gCN2_cl81_fr6_AH_2019-03-01,AH,March,Trip_2,CN2_Cluster_81_6_pr,313,apal,2_pr,81,2,NA,greenyellow,blue4,maroon2,blue4,orangered,24.9845614,-80.4165913,-17.7,17.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-687,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,CN4,3,March,2019,91,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gCN4_cl72_fr3_AH_2019-03-01,apal_pr_gCN4_cl72_fr3_AH_2019-03-01,AH,March,Trip_2,CN4_Cluster_72_3_pr,334,apal,2_pr,72,2,NA,greenyellow,maroon2,ivory3,blue4,orangered,24.9845657,-80.4165627,-17.7,17.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-688,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,CN4,5,March,2019,91,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gCN4_cl72_fr5_AH_2019-03-01,apal_pr_gCN4_cl72_fr5_AH_2019-03-01,AH,March,Trip_2,CN4_Cluster_72_5_pr,335,apal,2_pr,72,2,NA,greenyellow,maroon2,ivory3,blue4,orangered,24.9845657,-80.4165627,-17.7,17.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-686,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,CN4,A,March,2019,91,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gCN4_cl72_frA_AH_2019-03-01,apal_pr_gCN4_cl72_frA_AH_2019-03-01,AH,March,Trip_2,CN4_Cluster_72_A_pr,333,apal,2_pr,72,2,NA,greenyellow,maroon2,ivory3,blue4,orangered,24.9845657,-80.4165627,-17.7,17.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-740,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,ML2,4,March,2019,62.33333333,1,5,1,NA,NA,NA,47.79785,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gML2_cl65_fr4_AH_2019-03-01,apal_pr_gML2_cl65_fr4_AH_2019-03-01,AH,March,Trip_2,ML2_Cluster_65_4_pr,348,apal,2_pr,65,2,NA,greenyellow,orangered,slategrey,blue4,orangered,24.9845482,-80.4165515,-17.7,17.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-681,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,ML2,5,March,2019,62.33333333,1,5,1,NA,NA,NA,42.5346,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gML2_cl65_fr5_AH_2019-03-01,apal_pr_gML2_cl65_fr5_AH_2019-03-01,AH,March,Trip_2,ML2_Cluster_65_5_pr,331,apal,2_pr,65,2,NA,greenyellow,orangered,slategrey,blue4,orangered,24.9845482,-80.4165515,-17.7,17.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-682,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,ML2,6,March,2019,62.33333333,1,5,1,NA,NA,NA,54.6345,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gML2_cl65_fr6_AH_2019-03-01,apal_pr_gML2_cl65_fr6_AH_2019-03-01,AH,March,Trip_2,ML2_Cluster_65_6_pr,332,apal,2_pr,65,2,NA,greenyellow,orangered,slategrey,blue4,orangered,24.9845482,-80.4165515,-17.7,17.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-1895,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,CN2,3,November,2019,78.33333333,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gCN2_cl81_fr3_AH_2019-11-18,apal_pr_gCN2_cl81_fr3_AH_2019-11-18,AH,November,Trip_5,CN2_Cluster_81_3_pr,190,apal,5_pr,81,5,NA,greenyellow,blue4,maroon2,orangered,mediumpurple,24.9845614,-80.4165913,-17.7,17.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-1896,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,CN2,4,November,2019,78.33333333,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gCN2_cl81_fr4_AH_2019-11-18,apal_pr_gCN2_cl81_fr4_AH_2019-11-18,AH,November,Trip_5,CN2_Cluster_81_4_pr,191,apal,5_pr,81,5,NA,greenyellow,blue4,maroon2,orangered,mediumpurple,24.9845614,-80.4165913,-17.7,17.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-1897,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,CN2,6,November,2019,78.33333333,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gCN2_cl81_fr6_AH_2019-11-18,apal_pr_gCN2_cl81_fr6_AH_2019-11-18,AH,November,Trip_5,CN2_Cluster_81_6_pr,192,apal,5_pr,81,5,NA,greenyellow,blue4,maroon2,orangered,mediumpurple,24.9845614,-80.4165913,-17.7,17.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-2058,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,CN4,3,November,2019,91,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gCN4_cl72_fr3_AH_2019-11-18,apal_pr_gCN4_cl72_fr3_AH_2019-11-18,AH,November,Trip_5,CN4_Cluster_72_3_pr,226,apal,5_pr,72,5,NA,greenyellow,maroon2,ivory3,orangered,mediumpurple,24.9845657,-80.4165627,-17.7,17.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-2059,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,CN4,5,November,2019,91,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gCN4_cl72_fr5_AH_2019-11-18,apal_pr_gCN4_cl72_fr5_AH_2019-11-18,AH,November,Trip_5,CN4_Cluster_72_5_pr,227,apal,5_pr,72,5,NA,greenyellow,maroon2,ivory3,orangered,mediumpurple,24.9845657,-80.4165627,-17.7,17.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-2057,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,CN4,A,November,2019,91,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gCN4_cl72_frA_AH_2019-11-18,apal_pr_gCN4_cl72_frA_AH_2019-11-18,AH,November,Trip_5,CN4_Cluster_72_A_pr,225,apal,5_pr,72,5,NA,greenyellow,maroon2,ivory3,orangered,mediumpurple,24.9845657,-80.4165627,-17.7,17.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-1422,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,CN2,3,July,2019,78.33333333,2,7,1,NA,NA,NA,78.73620833,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gCN2_cl81_fr3_AH_2019-07-02,apal_pr_gCN2_cl81_fr3_AH_2019-07-02,AH,July,Trip_3,CN2_Cluster_81_3_pr,90,apal,3_pr,81,3,NA,greenyellow,blue4,maroon2,maroon2,slategrey,24.9845614,-80.4165913,-17.7,17.7,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1423,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,CN2,4,July,2019,78.33333333,2,7,1,NA,NA,NA,93.8914,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gCN2_cl81_fr4_AH_2019-07-02,apal_pr_gCN2_cl81_fr4_AH_2019-07-02,AH,July,Trip_3,CN2_Cluster_81_4_pr,91,apal,3_pr,81,3,NA,greenyellow,blue4,maroon2,maroon2,slategrey,24.9845614,-80.4165913,-17.7,17.7,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1424,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,CN2,6,July,2019,78.33333333,2,7,1,NA,NA,NA,93.8914,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gCN2_cl81_fr6_AH_2019-07-02,apal_pr_gCN2_cl81_fr6_AH_2019-07-02,AH,July,Trip_3,CN2_Cluster_81_6_pr,92,apal,3_pr,81,3,NA,greenyellow,blue4,maroon2,maroon2,slategrey,24.9845614,-80.4165913,-17.7,17.7,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1329,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,CN4,3,July,2019,91,2,7,1,NA,NA,NA,97.17145556,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gCN4_cl72_fr3_AH_2019-07-02,apal_pr_gCN4_cl72_fr3_AH_2019-07-02,AH,July,Trip_3,CN4_Cluster_72_3_pr,63,apal,3_pr,72,3,NA,greenyellow,maroon2,ivory3,maroon2,slategrey,24.9845657,-80.4165627,-17.7,17.7,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1330,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,CN4,5,July,2019,91,2,7,1,NA,NA,NA,86.54372222,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gCN4_cl72_fr5_AH_2019-07-02,apal_pr_gCN4_cl72_fr5_AH_2019-07-02,AH,July,Trip_3,CN4_Cluster_72_5_pr,64,apal,3_pr,72,3,NA,greenyellow,maroon2,ivory3,maroon2,slategrey,24.9845657,-80.4165627,-17.7,17.7,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1328,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,CN4,A,July,2019,91,2,7,1,NA,NA,NA,81.47668889,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gCN4_cl72_frA_AH_2019-07-02,apal_pr_gCN4_cl72_frA_AH_2019-07-02,AH,July,Trip_3,CN4_Cluster_72_A_pr,62,apal,3_pr,72,3,NA,greenyellow,maroon2,ivory3,maroon2,slategrey,24.9845657,-80.4165627,-17.7,17.7,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1334,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,ML2,4,July,2019,62.33333333,2,7,1,NA,NA,NA,76.18366667,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gML2_cl65_fr4_AH_2019-07-02,apal_pr_gML2_cl65_fr4_AH_2019-07-02,AH,July,Trip_3,ML2_Cluster_65_4_pr,65,apal,3_pr,65,3,NA,greenyellow,orangered,slategrey,maroon2,slategrey,24.9845482,-80.4165515,-17.7,17.7,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1335,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,ML2,5,July,2019,62.33333333,2,7,1,NA,NA,NA,91.23613333,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gML2_cl65_fr5_AH_2019-07-02,apal_pr_gML2_cl65_fr5_AH_2019-07-02,AH,July,Trip_3,ML2_Cluster_65_5_pr,66,apal,3_pr,65,3,NA,greenyellow,orangered,slategrey,maroon2,slategrey,24.9845482,-80.4165515,-17.7,17.7,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1336,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,ML2,6,July,2019,62.33333333,2,7,1,NA,NA,NA,97.1249,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gML2_cl65_fr6_AH_2019-07-02,apal_pr_gML2_cl65_fr6_AH_2019-07-02,AH,July,Trip_3,ML2_Cluster_65_6_pr,67,apal,3_pr,65,3,NA,greenyellow,orangered,slategrey,maroon2,slategrey,24.9845482,-80.4165515,-17.7,17.7,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1759,26-Sep-19,5.699322917,195.807853,-1.235636574,-2.002650463,28.79111019,pr,CN2,4,September,2019,78.33333333,26,8,1,NA,NA,NA,NA,7,2019,0.2,0.025714286,0.934285714,0.907142857,0.082857143,apal_pr_gCN2_cl81_fr4_AH_2019-09-26,apal_pr_gCN2_cl81_fr4_AH_2019-09-26,AH,September,Trip_4,CN2_Cluster_81_4_pr,175,apal,4_pr,81,4,NA,greenyellow,blue4,maroon2,greenyellow,ivory3,24.9845614,-80.4165913,-17.7,17.7,2019,September,24.985,-80.416,0.838890013,0.313347159,29.12767665,0.509866187
bagnumber-1760,26-Sep-19,5.699322917,195.807853,-1.235636574,-2.002650463,28.79111019,pr,CN2,6,September,2019,78.33333333,26,8,1,NA,NA,NA,NA,7,2019,0.2,0.025714286,0.934285714,0.907142857,0.082857143,apal_pr_gCN2_cl81_fr6_AH_2019-09-26,apal_pr_gCN2_cl81_fr6_AH_2019-09-26,AH,September,Trip_4,CN2_Cluster_81_6_pr,176,apal,4_pr,81,4,NA,greenyellow,blue4,maroon2,greenyellow,ivory3,24.9845614,-80.4165913,-17.7,17.7,2019,September,24.985,-80.416,0.838890013,0.313347159,29.12767665,0.509866187
bagnumber-1695,26-Sep-19,5.699322917,195.807853,-1.235636574,-2.002650463,28.79111019,pr,CN4,3,September,2019,91,26,8,1,NA,NA,NA,NA,7,2019,0.2,0.025714286,0.934285714,0.907142857,0.082857143,apal_pr_gCN4_cl72_fr3_AH_2019-09-26,apal_pr_gCN4_cl72_fr3_AH_2019-09-26,AH,September,Trip_4,CN4_Cluster_72_3_pr,145,apal,4_pr,72,4,NA,greenyellow,maroon2,ivory3,greenyellow,ivory3,24.9845657,-80.4165627,-17.7,17.7,2019,September,24.985,-80.416,0.838890013,0.313347159,29.12767665,0.509866187
bagnumber-1696,26-Sep-19,5.699322917,195.807853,-1.235636574,-2.002650463,28.79111019,pr,CN4,5,September,2019,91,26,8,1,NA,NA,NA,NA,7,2019,0.2,0.025714286,0.934285714,0.907142857,0.082857143,apal_pr_gCN4_cl72_fr5_AH_2019-09-26,apal_pr_gCN4_cl72_fr5_AH_2019-09-26,AH,September,Trip_4,CN4_Cluster_72_5_pr,146,apal,4_pr,72,4,NA,greenyellow,maroon2,ivory3,greenyellow,ivory3,24.9845657,-80.4165627,-17.7,17.7,2019,September,24.985,-80.416,0.838890013,0.313347159,29.12767665,0.509866187
bagnumber-1694,26-Sep-19,5.699322917,195.807853,-1.235636574,-2.002650463,28.79111019,pr,CN4,A,September,2019,91,26,8,1,NA,NA,NA,NA,7,2019,0.2,0.025714286,0.934285714,0.907142857,0.082857143,apal_pr_gCN4_cl72_frA_AH_2019-09-26,apal_pr_gCN4_cl72_frA_AH_2019-09-26,AH,September,Trip_4,CN4_Cluster_72_A_pr,144,apal,4_pr,72,4,NA,greenyellow,maroon2,ivory3,greenyellow,ivory3,24.9845657,-80.4165627,-17.7,17.7,2019,September,24.985,-80.416,0.838890013,0.313347159,29.12767665,0.509866187
bagnumber-2034,19-Nov-19,6.026627907,186.8205,-0.553918605,-0.571651163,26.21434744,cf,HS1,3,November,2019,16.66666667,19,9,1,NA,NA,NA,NA,7,2019,0.426166667,0.017666667,0.272,0.254333333,0.055,apal_cf_gHS1_cl15_fr3_AH_2019-11-19,apal_cf_gHS1_cl15_fr3_AH_2019-11-19,AH,November,Trip_5,HS1_Cluster_15_3_cf,214,apal,5_cf,15,5,NA,blue4,greenyellow,mediumpurple,orangered,yellow3,25.2208297,-80.2102237,-17.6,17.6,2019,November,25.221,-80.21,0.98994618,0.150965477,27.62378409,0.201932594
bagnumber-2035,19-Nov-19,6.026627907,186.8205,-0.553918605,-0.571651163,26.21434744,cf,HS1,4,November,2019,16.66666667,19,9,0.666666667,NA,NA,NA,NA,7,2019,0.426166667,0.017666667,0.272,0.254333333,0.055,apal_cf_gHS1_cl15_fr4_AH_2019-11-19,apal_cf_gHS1_cl15_fr4_AH_2019-11-19,AH,November,Trip_5,HS1_Cluster_15_4_cf,215,apal,5_cf,15,5,NA,blue4,greenyellow,mediumpurple,orangered,yellow3,25.2208297,-80.2102237,-17.6,17.6,2019,November,25.221,-80.21,0.98994618,0.150965477,27.62378409,0.201932594
bagnumber-2036,19-Nov-19,6.026627907,186.8205,-0.553918605,-0.571651163,26.21434744,cf,HS1,5,November,2019,16.66666667,19,9,0.666666667,NA,NA,NA,NA,7,2019,0.426166667,0.017666667,0.272,0.254333333,0.055,apal_cf_gHS1_cl15_fr5_AH_2019-11-19,apal_cf_gHS1_cl15_fr5_AH_2019-11-19,AH,November,Trip_5,HS1_Cluster_15_5_cf,216,apal,5_cf,15,5,NA,blue4,greenyellow,mediumpurple,orangered,yellow3,25.2208297,-80.2102237,-17.6,17.6,2019,November,25.221,-80.21,0.98994618,0.150965477,27.62378409,0.201932594
bagnumber-2033,19-Nov-19,6.026627907,186.8205,-0.553918605,-0.571651163,26.21434744,cf,HS1,B,November,2019,16.66666667,19,9,0.666666667,NA,NA,NA,NA,7,2019,0.426166667,0.017666667,0.272,0.254333333,0.055,apal_cf_gHS1_cl15_frB_AH_2019-11-19,apal_cf_gHS1_cl15_frB_AH_2019-11-19,AH,November,Trip_5,HS1_Cluster_15_B_cf,213,apal,5_cf,15,5,NA,blue4,greenyellow,mediumpurple,orangered,yellow3,25.2208297,-80.2102237,-17.6,17.6,2019,November,25.221,-80.21,0.98994618,0.150965477,27.62378409,0.201932594
bagnumber-1025,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,HS1,3,June,2019,16.66666667,25,7,1,NA,NA,NA,71.56733333,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gHS1_cl15_fr3_AH_2019-06-25,apal_cf_gHS1_cl15_fr3_AH_2019-06-25,AH,June,Trip_3,HS1_Cluster_15_3_cf,14,apal,3_cf,15,3,NA,blue4,greenyellow,mediumpurple,maroon2,black,25.2208297,-80.2102237,-17.6,17.6,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-1026,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,HS1,4,June,2019,16.66666667,25,7,0.666666667,NA,NA,NA,55.43636667,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gHS1_cl15_fr4_AH_2019-06-25,apal_cf_gHS1_cl15_fr4_AH_2019-06-25,AH,June,Trip_3,HS1_Cluster_15_4_cf,15,apal,3_cf,15,3,NA,blue4,greenyellow,mediumpurple,maroon2,black,25.2208297,-80.2102237,-17.6,17.6,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
